Price min value,Price for each machine,Time
12832/1000,"[2808/1000, 0/1000, 2808/1000, 1600/1000, 2808/1000, 2808/1000]",0.14847207069396973
12832/1000,"[2808/1000, 0/1000, 2808/1000, 1600/1000, 2808/1000, 2808/1000]",0.15130996704101562
12832/1000,"[1600/1000, 2808/1000, 0/1000, 2808/1000, 2808/1000, 2808/1000]",0.08846402168273926
12832/1000,"[1600/1000, 2808/1000, 2808/1000, 2808/1000, 2808/1000, 0/1000]",0.11959195137023926
12832/1000,"[2808/1000, 2808/1000, 2808/1000, 1600/1000, 2808/1000, 0/1000]",0.10772991180419922
-1,"[2808/1000, 1600/1000, 2808/1000, 2808/1000, 9152/1000, 1600/1000]",0.04973483085632324
-1,"[2808/1000, 1600/1000, 2808/1000, 2808/1000, 9152/1000, 1600/1000]",0.05062103271484375
-1,"[2808/1000, 1600/1000, 2808/1000, 2808/1000, 9152/1000, 1600/1000]",0.03533220291137695
-1,"[2808/1000, 1600/1000, 2808/1000, 2808/1000, 9152/1000, 1600/1000]",0.04972696304321289
12832/1000,"[2808/1000, 0/1000, 2808/1000, 1600/1000, 2808/1000, 2808/1000]",0.11710286140441895
-1,"[2808/1000, 1600/1000, 2808/1000, 2808/1000, 9152/1000, 1600/1000]",0.0419459342956543
-1,"[2808/1000, 1600/1000, 2808/1000, 2808/1000, 9152/1000, 1600/1000]",0.03702497482299805
12832/1000,"[2808/1000, 0/1000, 2808/1000, 2808/1000, 1600/1000, 2808/1000]",0.09758901596069336
