Price min value,Price for each machine,Time
12832/1000,"[1600/1000, 2808/1000, 2808/1000, 2808/1000, 0/1000, 2808/1000]",0.08997392654418945
12832/1000,"[1600/1000, 0/1000, 2808/1000, 2808/1000, 2808/1000, 2808/1000]",0.08453917503356934
12832/1000,"[0/1000, 2808/1000, 1600/1000, 2808/1000, 2808/1000, 2808/1000]",0.10162806510925293
12832/1000,"[1600/1000, 2808/1000, 2808/1000, 2808/1000, 0/1000, 2808/1000]",0.09798908233642578
12832/1000,"[1600/1000, 0/1000, 2808/1000, 2808/1000, 2808/1000, 2808/1000]",0.09729719161987305
12832/1000,"[1600/1000, 2808/1000, 2808/1000, 2808/1000, 0/1000, 2808/1000]",0.13202190399169922
12832/1000,"[1600/1000, 2808/1000, 2808/1000, 2808/1000, 0/1000, 2808/1000]",0.14690089225769043
12832/1000,"[1600/1000, 2808/1000, 2808/1000, 2808/1000, 0/1000, 2808/1000]",0.12522172927856445
12832/1000,"[1600/1000, 2808/1000, 2808/1000, 2808/1000, 0/1000, 2808/1000]",0.13186311721801758
12832/1000,"[1600/1000, 2808/1000, 2808/1000, 2808/1000, 2808/1000, 0/1000]",0.07117724418640137
12832/1000,"[1600/1000, 2808/1000, 2808/1000, 2808/1000, 2808/1000, 0/1000]",0.09737396240234375
12832/1000,"[1600/1000, 2808/1000, 2808/1000, 2808/1000, 0/1000, 2808/1000]",0.2174549102783203
12832/1000,"[1600/1000, 2808/1000, 2808/1000, 2808/1000, 0/1000, 2808/1000]",0.19075322151184082
